player_name_clean,year_ahead,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
bismack biyombo,2,0.0292,0.0038,0.0335,0.1127,-0.0036,0.0268,-0.0144,0.018
bismack biyombo,3,0.0341,0.0066,0.026,0.107,-0.013,0.0328,-0.0118,0.009
bismack biyombo,4,0.0462,0.017,0.027,0.113,-0.0013,0.0403,-0.0117,0.0083
bismack biyombo,5,0.0441,0.0085,0.0272,0.1028,0.0145,0.0393,-0.0158,0.0077
blake wesley,1,0.0297,0.0192,0.0684,0.1469,0.0351,0.0294,0.0079,0.0347
blake wesley,2,0.0248,0.0295,0.0604,0.1236,0.034,0.0228,-0.005,0.0056
blake wesley,3,0.0261,0.038,0.0476,0.1237,0.0304,0.0311,-0.0033,0.0151
blake wesley,4,0.027,0.0249,0.041,0.1246,0.0297,0.0256,0.003,0.019
blake wesley,5,0.0311,0.0439,0.0499,0.1334,0.0297,0.032,0.006,0.0223
bobby portis,1,0.0008,0.0128,-0.0071,-0.0035,-0.0052,-0.004,-0.013,-0.0188
bobby portis,2,-0.0049,0.0093,-0.0217,-0.016,-0.0046,-0.001,-0.0138,-0.0219
bobby portis,3,-0.0121,0.0083,-0.0286,-0.0165,-0.0083,-0.0232,-0.0198,-0.0266
bobby portis,4,-0.0179,-0.0027,-0.0154,-0.008,0.0008,-0.0125,-0.0206,-0.0315
bobby portis,5,-0.0057,-0.0086,-0.0304,-0.0072,0.0018,-0.0134,-0.0209,-0.0269
bobi klintman,1,0.0283,0.018,0.0538,0.1208,0.0342,0.0263,0.0024,0.1385
bobi klintman,2,0.0256,0.0257,0.0521,0.1959,0.0319,0.023,0.0022,0.0971
bobi klintman,3,0.0337,0.0353,0.0504,0.198,0.0307,0.0283,0.0032,0.1006
bobi klintman,4,0.0286,0.0233,0.0389,0.1736,0.0287,0.0249,0.0062,0.065
bobi klintman,5,0.0272,0.0418,0.0516,0.1707,0.0273,0.0281,0.006,0.0644
bogdan bogdanovic,1,-0.0101,-0.0211,-0.0265,-0.0175,-0.0201,-0.0109,-0.0199,-0.0338
bogdan bogdanovic,2,-0.0092,-0.0219,-0.0478,-0.0221,-0.0197,-0.0162,-0.0169,-0.0304
bogdan bogdanovic,3,-0.0119,-0.0246,-0.0521,-0.0287,-0.0189,-0.0111,-0.0199,-0.0348
bogdan bogdanovic,4,-0.0189,-0.0204,-0.0707,-0.0386,-0.0227,-0.0275,-0.021,-0.0355
bogdan bogdanovic,5,-0.0076,-0.0255,-0.0651,-0.0293,-0.0222,-0.0311,-0.0216,-0.0104
bones hyland,1,0.0349,0.0228,0.0531,0.1167,0.0366,0.0323,0.0057,0.0574
bones hyland,2,0.034,0.0302,0.0589,0.1721,0.0345,0.0311,0.0083,0.0617
bones hyland,3,0.0304,0.038,0.0527,0.159,0.03,0.0284,0.0018,0.051
bones hyland,4,0.0337,0.0452,0.0546,0.1619,0.0329,0.0323,-0.0018,0.0491
bones hyland,5,0.0348,0.0444,0.0566,0.1571,0.0322,0.0364,0.0008,0.0427
bradley beal,1,0.0191,0.0062,0.0189,0.0072,0.0172,0.0171,-0.0183,0.0399
bradley beal,2,0.0209,-0.0007,0.0354,0.0062,0.0066,0.0183,-0.0156,0.0266
bradley beal,3,0.0235,0.0007,0.0223,0.0129,0.0045,0.0207,-0.0161,0.0258
bradley beal,4,0.0287,0.0002,0.0085,0.0161,0.0179,0.0247,-0.0185,0.0349
bradley beal,5,0.0291,0.0014,0.0153,0.0189,0.0109,0.0265,-0.0125,0.0283
branden carlson,1,0.0202,0.0172,0.0636,0.0794,0.031,0.0218,0.0084,0.0881
branden carlson,2,0.0343,0.0257,0.056,0.1498,0.0429,0.0342,0.002,0.0805
branden carlson,3,0.0396,0.0342,0.0477,0.1827,0.0369,0.0338,0.0024,0.0773
branden carlson,4,0.0401,0.0376,0.0493,0.1574,0.0322,0.0359,0.0015,0.0433
branden carlson,5,0.0373,0.0444,0.0495,0.1432,0.0311,0.0303,-0.002,0.035
brandin podziemski,1,0.0121,-0.0002,0.0345,-0.016,0.0027,0.0144,0.0013,0.0061
brandin podziemski,2,0.0007,0.0069,0.006,-0.0261,-0.0104,0.0028,0.002,-0.0149
brandin podziemski,3,-0.0015,0.0249,-0.0128,-0.0102,-0.0017,-0.0021,0.0045,-0.014
brandin podziemski,4,0.0005,0.0149,-0.0189,-0.0182,0.003,-0.0033,0.0091,-0.0209
brandin podziemski,5,-0.0041,0.0082,-0.0204,-0.0153,-0.0254,-0.0026,0.0017,-0.0231
brandon ingram,1,-0.0146,-0.0399,-0.0273,-0.0066,-0.0068,-0.0156,-0.0125,-0.046
brandon ingram,2,-0.0187,-0.0319,-0.0411,-0.007,-0.0132,-0.0164,-0.0122,-0.0431
brandon ingram,3,-0.0171,-0.0375,-0.0467,-0.0267,-0.0337,-0.016,-0.0165,-0.039
brandon ingram,4,-0.0154,-0.0398,-0.0657,-0.0214,-0.0269,-0.0145,-0.0184,-0.041
brandon ingram,5,-0.022,-0.0435,-0.0602,-0.0255,-0.0367,-0.0244,-0.0147,-0.0245
brandon miller,1,-0.003,0.0182,0.0312,-0.0044,0.0155,-0.0024,0.0032,0.0013
brandon miller,2,-0.0062,0.0232,0.0204,-0.0026,0.0083,-0.0051,0.0076,-0.0047
brandon miller,3,-0.0063,0.0238,-0.02,-0.008,0.0053,-0.0015,0.0011,-0.0183
brandon miller,4,0.0022,0.0073,-0.0326,0.0198,-0.0034,-0.0008,0.0015,-0.0205
brandon miller,5,0.0029,0.0008,-0.0103,0.0115,-0.0116,-0.0046,-0.0044,-0.0236
brandon williams,1,0.0017,0.0142,0.0346,-0.0036,0.0028,0.0003,-0.0167,0.1334
brandon williams,2,-0.0007,0.0148,0.0302,-0.0155,0.0068,-0.0012,-0.0162,0.0177
brandon williams,3,-0.0022,0.022,0.0091,-0.0111,0.0017,-0.0008,-0.0183,0.0034
brandon williams,4,-0.0074,0.0085,0.0107,0.0075,0.0017,-0.0058,-0.0138,-0.0065
brandon williams,5,-0.0089,0.0118,0.0085,-0.0102,-0.0027,-0.0053,-0.02,-0.0182
brice sensabaugh,1,0.0289,0.0046,0.0275,0.0416,0.0207,0.0239,0.0035,0.0245
brice sensabaugh,2,0.0301,0.0201,0.0205,0.0501,0.0385,0.0286,0.0035,0.0453
brice sensabaugh,3,0.0215,0.0248,0.0117,0.0482,0.0236,0.0188,0.0034,0.0436
brice sensabaugh,4,0.0248,0.039,0.0351,0.0481,0.0384,0.0246,0.0024,0.0242
brice sensabaugh,5,0.0237,0.0286,0.0369,0.0584,0.0191,0.0251,-0.0006,0.0261
bronny james,1,0.0483,0.0324,0.0548,0.0744,0.0341,0.0503,0.0038,0.0641
bronny james,2,0.0531,0.027,0.0537,0.1906,0.0437,0.0572,0.0053,0.0653
