player_name_clean,year_ahead,Efficiency,Impact,Interior_Defense,Perimeter_Defense,Playmaking,Rebounding,Scoring,Shooting
bennedict mathurin,5,0.014128,-0.03162,0.0011,-0.0059,0.014967,-0.0223,0.0038,-0.0063
bilal coulibaly,1,0.009873,0.0039,0.00163,0.035361,0.035144,0.0102,0.027337,0.024882
bilal coulibaly,2,0.009859,0.005,0.00149,0.0246,0.04436,0.0098,0.031682,0.027756
bilal coulibaly,3,0.010006,0.002,0.00134,0.0125,0.054741,0.0072,0.015352,0.0141
bilal coulibaly,4,-0.001266,-0.0031,0.00123,0.0183,0.04382,0.0102,0.0099,0.0104
bilal coulibaly,5,-0.003052,-0.0117,0.00164,0.0144,0.041966,0.0044,0.0051,0.0101
bismack biyombo,1,-0.008194,0.034047,-0.01228,0.032988,0.007928,0.015284,0.0362,0.037303
bismack biyombo,2,-0.0137,0.024678,-0.012006,0.034025,0.008631,0.004706,0.032103,0.036456
bismack biyombo,3,-0.007831,0.011731,-0.012575,0.028288,0.011147,0.000563,0.038594,0.036512
bismack biyombo,4,-0.01155,0.010941,-0.012582,0.029431,0.025819,0.012738,0.044919,0.0511
bismack biyombo,5,-0.015666,0.010472,-0.011716,0.029962,0.016794,0.01555,0.045862,0.04835
blake wesley,1,0.007677,0.034293,0.014095,0.064968,0.015787,0.035335,0.027852,0.029401
blake wesley,2,-0.0033,0.006806,0.011728,0.061594,0.030689,0.035431,0.019963,0.023909
blake wesley,3,-0.0033,0.012921,0.010327,0.047963,0.03746,0.029916,0.035822,0.025753
blake wesley,4,0.002773,0.019662,0.009199,0.04244,0.025064,0.022058,0.021286,0.026287
blake wesley,5,0.006828,0.021244,0.013335,0.047682,0.041853,0.029319,0.0362,0.036661
bobby portis,1,0.0086,0.001226,-0.001656,0.017498,0.033407,0.01538,0.018306,0.020173
bobby portis,2,0.006463,-0.001192,-0.000412,0.003465,0.029635,0.015374,0.019276,0.017375
bobby portis,3,0.00494,-0.004732,-0.000632,-0.00822,0.027339,0.011232,-0.00176,0.009183
bobby portis,4,0.00464,-0.012368,-0.001324,0.003016,0.0177,0.02379,0.008009,0.002853
bobby portis,5,0.00348,-0.004997,-0.001765,-0.010145,0.012665,0.023475,0.008732,0.014583
bobi klintman,1,0.001666,0.134036,0.011346,0.052863,0.012627,0.034026,0.0227,0.027569
bobi klintman,2,0.00278,0.096951,0.019111,0.051798,0.02443,0.031927,0.020554,0.025712
bobi klintman,3,0.003539,0.097828,0.019329,0.050412,0.033689,0.030253,0.030498,0.036982
bobi klintman,4,0.006005,0.069538,0.017426,0.03957,0.021121,0.020417,0.019271,0.030554
bobi klintman,5,0.006828,0.05772,0.017073,0.048,0.041625,0.024591,0.026948,0.027687
bogdan bogdanovic,1,-0.019686,-0.0241,0.001665,0.0021,-0.0163,-0.013868,0.009198,0.009063
bogdan bogdanovic,2,-0.01603,-0.029197,0.001225,-0.011664,-0.015977,-0.016582,0.007019,0.009366
bogdan bogdanovic,3,-0.020838,-0.034432,0.00216,-0.015921,-0.022814,-0.019832,0.008264,0.012561
bogdan bogdanovic,4,-0.020256,-0.034653,0.003563,-0.02968,-0.01624,-0.021603,-0.017094,-0.000405
bogdan bogdanovic,5,-0.021542,-0.012789,0.002491,-0.0299,-0.023261,-0.017134,-0.0145,0.015047
bones hyland,1,0.006562,0.0564,0.011036,0.053428,0.024188,0.035509,0.034015,0.034306
bones hyland,2,0.008365,0.061985,0.017071,0.056775,0.029575,0.03841,0.03425,0.034089
bones hyland,3,0.002347,0.055796,0.016484,0.045078,0.03905,0.03152,0.03024,0.032929
bones hyland,4,-0.001517,0.048226,0.016421,0.051182,0.0443,0.03347,0.035146,0.03539
bones hyland,5,0.000385,0.041573,0.016355,0.053917,0.042942,0.033162,0.038087,0.038893
bradley beal,1,-0.019098,0.03983,-0.001105,0.050253,0.0062,0.014085,0.027951,0.029701
bradley beal,2,-0.015317,0.030558,-0.000735,0.065776,0.000581,0.007566,0.032593,0.034911
bradley beal,3,-0.016334,0.031057,-0.001181,0.051905,8.4e-05,0.002198,0.030542,0.034509
bradley beal,4,-0.01767,0.035834,-0.002434,0.033247,0.002623,0.017277,0.033736,0.038503
bradley beal,5,-0.012669,0.034334,-0.004175,0.038196,0.002286,0.013269,0.037343,0.040367
branden carlson,1,0.008925,0.089276,0.009244,0.055576,0.017826,0.032275,0.017747,0.017492
branden carlson,2,0.00215,0.080287,0.014726,0.056129,0.024344,0.042274,0.0375,0.035319
branden carlson,3,0.003296,0.076265,0.0181,0.044759,0.033702,0.036712,0.034252,0.038593
branden carlson,4,0.002505,0.044226,0.016129,0.049604,0.040659,0.032651,0.038813,0.042347
branden carlson,5,-0.001911,0.032662,0.014859,0.049658,0.042942,0.032318,0.032521,0.043583
brandin podziemski,1,0.000317,0.036511,0.017757,0.069896,0.022951,0.000207,0.035594,0.022406
brandin podziemski,2,0.002029,0.016741,0.004913,0.032777,0.026814,-0.0096,0.022001,0.010204
brandin podziemski,3,0.004911,0.01607,0.023332,0.017527,0.053246,-0.000511,0.014804,0.006665
brandin podziemski,4,0.01158,0.00786,0.012721,0.012823,0.033091,0.005231,0.015237,0.010942
brandin podziemski,5,0.002139,0.005563,0.019376,0.008406,0.029368,-0.0223,0.016163,0.007707
brandon ingram,1,0.0086,-0.00244,-0.001229,-0.004036,-0.00838,0.011971,0.005693,0.004741
brandon ingram,2,0.007958,-0.00632,-0.001292,-0.0166,-0.010764,0.005523,0.005263,0.002075
brandon ingram,3,0.00494,-0.01406,0.000745,-0.01692,-0.01326,-0.00498,0.00562,0.001574
brandon ingram,4,0.00464,-0.01744,4.8e-05,-0.02472,-0.00814,-0.008866,0.006167,0.00469
brandon ingram,5,0.005813,-0.002396,0.000373,-0.0324,-0.0032,-0.0112,-0.004185,-0.00114
brandon miller,1,0.005725,0.000497,0.029968,0.062149,0.039857,0.020627,0.017268,0.007537
brandon miller,2,0.007495,-0.006217,0.027068,0.054061,0.042421,0.010668,0.012537,0.004317
brandon miller,3,0.002421,-0.019662,0.02498,0.011372,0.047964,0.009922,0.017403,0.003532
brandon miller,4,-0.001052,-0.021629,0.083811,-0.001966,0.02745,-0.004097,0.021725,0.013151
brandon miller,5,-0.006264,-0.025915,0.043027,0.028963,0.019931,-0.019581,0.013797,0.012857
brandon williams,1,-0.00425,0.131329,0.001464,0.03256,0.013392,0.00794,0.01207,0.01088
brandon williams,2,-0.00538,0.021608,0.000353,0.029691,0.015187,0.00901,0.01114,0.01026
brandon williams,3,-0.00608,0.005547,0.000116,0.01461,0.02217,0.00431,0.00139,0.00442
brandon williams,4,-0.00614,-0.00581,0.000813,0.01264,0.008664,0.00904,0.00697,0.00826
brandon williams,5,-0.01052,-0.00841,0.00038,0.02065,0.006092,0.00507,0.004,0.0082
brice sensabaugh,1,0.003109,0.027022,0.005303,0.0321,0.004331,0.018116,0.020123,0.02879
brice sensabaugh,2,0.004657,0.04292,0.00753,0.0246,0.018629,0.038832,0.028781,0.030899
brice sensabaugh,3,0.003776,0.03897,0.0068,0.0125,0.022085,0.021849,0.015599,0.018486
brice sensabaugh,4,0.001799,0.024232,0.00745,0.035471,0.039507,0.03807,0.017592,0.021035
brice sensabaugh,5,-0.002223,0.026748,0.007361,0.036749,0.030154,0.008953,0.014177,0.018885
bronny james,1,0.00359,0.064831,0.008819,0.053464,0.0333,0.033746,0.044847,0.043487
bronny james,2,0.005127,0.06876,0.018918,0.053825,0.026606,0.042097,0.049355,0.049674
bronny james,3,0.007917,0.070579,0.019207,0.049704,0.036589,0.037347,0.043377,0.043608
bronny james,4,0.004096,0.043886,0.015381,0.045669,0.04082,0.023289,0.0484,0.040904
bronny james,5,0.006828,0.03675,0.014812,0.046287,0.042876,0.035105,0.044647,0.043117
brook lopez,1,-0.017922,0.016779,-0.00524,0.068278,-0.00055,0.026794,0.051765,0.050242
brook lopez,2,-0.018362,0.021895,-0.00648,0.067646,-0.003098,0.026785,0.050001,0.049687
brook lopez,3,-0.016334,0.025376,-0.007967,0.060865,-0.002969,0.028104,0.045207,0.054682
brook lopez,4,-0.017301,0.02934,-0.00943,0.056832,0.009198,0.018687,0.041299,0.045443
brook lopez,5,-0.018661,0.026487,-0.01024,0.066976,0.016457,0.017224,0.042404,0.04507
brooks barnhizer,1,0.015635,0.12041,0.012648,0.041956,0.015194,0.018927,0.027595,0.026103
brooks barnhizer,2,0.016156,0.087905,0.01371,0.039878,0.015728,0.018256,0.026352,0.027275
brooks barnhizer,3,0.010563,0.085482,0.013593,0.020688,0.031658,0.013328,0.026185,0.022639
brooks barnhizer,4,0.005699,0.074194,0.014195,0.022127,0.012018,0.021032,0.023302,0.020543
brooks barnhizer,5,0.009717,0.03475,0.010923,0.019594,0.007111,0.022981,0.031645,0.024175
bruce brown,1,0.012099,0.009205,-0.004789,0.029653,0.00517,0.028685,0.013261,0.016112
bruce brown,2,0.008207,0.004764,-0.003532,0.029522,0.013653,0.025661,0.007146,0.020629
