player_name_clean,year_ahead,attribute,value,percentile
ace bailey,3,Perimeter_Defense,62.6249999292145,63.5
ace bailey,3,Playmaking,50.210395284996,40.9
ace bailey,3,Rebounding,57.3437395657463,73.7
ace bailey,3,Scoring,61.8144230668716,70.7
ace bailey,3,Shooting,68.0578861454973,87.0
ace bailey,4,Efficiency,79.2690338849678,61.9
ace bailey,4,Impact,61.4750143912401,48.5
ace bailey,4,Interior_Defense,61.2104107214203,56.9
ace bailey,4,Perimeter_Defense,63.283943105484,65.5
ace bailey,4,Playmaking,50.9338676417923,38.3
ace bailey,4,Rebounding,58.3531605566902,73.3
ace bailey,4,Scoring,63.5239422147446,71.1
ace bailey,4,Shooting,67.8449490288744,86.0
ace bailey,5,Efficiency,79.5574636816635,62.1
ace bailey,5,Impact,62.1134094622698,49.9
ace bailey,5,Interior_Defense,60.5350006593456,50.1
ace bailey,5,Perimeter_Defense,63.403083730484,66.9
ace bailey,5,Playmaking,51.4410317624664,37.1
ace bailey,5,Rebounding,60.2378162707252,76.6
ace bailey,5,Scoring,64.7571765010529,71.7
ace bailey,5,Shooting,67.3811913947115,81.6
adem bona,0,Efficiency,82.497727,74.7
adem bona,0,Impact,59.65738,37.1
adem bona,0,Interior_Defense,85.240676,97.8
adem bona,0,Perimeter_Defense,53.387837,29.5
adem bona,0,Playmaking,34.515501,0.4
adem bona,0,Rebounding,57.681309,78.2
adem bona,0,Scoring,43.892055,19.8
adem bona,0,Shooting,46.012948,13.2
adem bona,1,Efficiency,82.4226902358551,79.6
adem bona,1,Impact,60.4744059296894,43.9
adem bona,1,Interior_Defense,83.5323088907013,98.6
adem bona,1,Perimeter_Defense,54.1288899851913,27.3
adem bona,1,Playmaking,35.9481217637787,0.4
adem bona,1,Rebounding,58.9953136596527,78.4
adem bona,1,Scoring,45.3476966273117,20.8
adem bona,1,Shooting,44.9792224998932,7.6
adem bona,2,Efficiency,82.0825614564438,78.8
adem bona,2,Impact,60.7548707577038,45.7
adem bona,2,Interior_Defense,81.5837274335632,98.6
adem bona,2,Perimeter_Defense,55.1148732377167,26.9
adem bona,2,Playmaking,37.3807425275574,0.6
adem bona,2,Rebounding,60.1384848508682,78.4
adem bona,2,Scoring,46.654936398201,25.9
adem bona,2,Shooting,45.0678885813217,4.2
adem bona,3,Efficiency,81.5783544414062,75.6
adem bona,3,Impact,61.112256691103,47.3
adem bona,3,Interior_Defense,80.293775155426,98.4
adem bona,3,Perimeter_Defense,56.1860256863708,26.1
adem bona,3,Playmaking,39.1240157857666,0.8
adem bona,3,Rebounding,58.9640760574188,74.7
adem bona,3,Scoring,47.7863998066711,28.5
adem bona,3,Shooting,45.0719717379074,2.6
adem bona,4,Efficiency,81.0741474263687,71.5
adem bona,4,Impact,60.748135969286,41.9
adem bona,4,Interior_Defense,78.4340151094208,97.4
adem bona,4,Perimeter_Defense,57.257178135025,25.5
adem bona,4,Playmaking,40.457532621933,1.0
adem bona,4,Rebounding,58.0979942831841,73.1
adem bona,4,Scoring,47.6763553571033,26.5
adem bona,4,Shooting,46.9925889606934,4.6
adem bona,5,Efficiency,80.1382171742935,64.9
adem bona,5,Impact,61.2140048595715,42.7
adem bona,5,Interior_Defense,77.1255866431007,96.6
adem bona,5,Perimeter_Defense,58.5099402142639,31.7
adem bona,5,Playmaking,42.1655754819641,2.0
adem bona,5,Rebounding,57.1353591236916,71.1
adem bona,5,Scoring,47.2490331780243,24.4
adem bona,5,Shooting,46.6953546638947,2.6
adou thiero,0,Efficiency,82.984839,79.8
adou thiero,0,Impact,53.735742,7.6
adou thiero,0,Interior_Defense,55.969026,24.2
adou thiero,0,Perimeter_Defense,53.80892,33.3
adou thiero,0,Playmaking,37.753282,4.0
adou thiero,0,Rebounding,42.336365,39.9
adou thiero,0,Scoring,41.024204,7.6
adou thiero,0,Shooting,46.960682,14.4
adou thiero,1,Efficiency,76.2813797371521,39.3
adou thiero,1,Impact,53.9405920776291,5.4
adou thiero,1,Interior_Defense,57.4418624944458,31.3
adou thiero,1,Perimeter_Defense,55.2766483763886,34.3
adou thiero,1,Playmaking,38.4927523626633,3.4
adou thiero,1,Rebounding,46.336365,50.5
adou thiero,1,Scoring,43.6611585459747,12.2
adou thiero,1,Shooting,46.1820042980499,10.2
adou thiero,2,Efficiency,69.9538431542053,15.8
adou thiero,2,Impact,54.1841821345253,6.4
adou thiero,2,Interior_Defense,58.9323829717407,39.7
adou thiero,2,Perimeter_Defense,57.2028709391785,37.3
adou thiero,2,Playmaking,39.4793106808014,3.0
adou thiero,2,Rebounding,50.0846717512512,57.5
adou thiero,2,Scoring,45.9477040610352,19.4
adou thiero,2,Shooting,48.6998468292541,13.0
adou thiero,3,Efficiency,70.6596140937939,17.0
adou thiero,3,Impact,55.1352646770639,12.4
adou thiero,3,Interior_Defense,60.1587990827332,48.7
adou thiero,3,Perimeter_Defense,59.3160894850922,41.7
adou thiero,3,Playmaking,40.4536490334816,2.6
adou thiero,3,Rebounding,49.855804637661,54.7
adou thiero,3,Scoring,48.037503703598,31.1
adou thiero,3,Shooting,48.0287903202362,7.6
adou thiero,4,Efficiency,71.496636606945,18.2
adou thiero,4,Impact,56.0938351276083,16.6
adou thiero,4,Interior_Defense,60.7969168729553,53.3
adou thiero,4,Perimeter_Defense,61.157986734314,49.7
adou thiero,4,Playmaking,41.4280093802757,2.8
adou thiero,4,Rebounding,50.171427623024,55.5
adou thiero,4,Scoring,48.9154110393562,33.3
adou thiero,4,Shooting,51.3368714702911,14.4
adou thiero,5,Efficiency,70.8087886350288,10.8
adou thiero,5,Impact,56.9412883641882,19.0
adou thiero,5,Interior_Defense,60.8898582763443,54.1
adou thiero,5,Perimeter_Defense,61.825348232193,54.3
adou thiero,5,Playmaking,42.2461780204124,2.4
adou thiero,5,Rebounding,50.4044496571922,56.7
adou thiero,5,Scoring,49.7933183751144,37.9
adou thiero,5,Shooting,50.2931793583221,9.4
aj green,0,Efficiency,56.055649,2.8
aj green,0,Impact,68.24878,82.8
aj green,0,Interior_Defense,52.779693,4.4
aj green,0,Perimeter_Defense,58.276529,60.5
aj green,0,Playmaking,46.421921,40.7
aj green,0,Rebounding,32.237324,5.4
